姓名,身高,體重
崔孝憲,186,85
陳家維,185,63
王良斌,175,50
周芷蓁,162,50
李蓉瑞,162,67
錢佩豪,181,66
黃志福,166,76
鍾俞禎,160,84
張慧君,180,83
王明昇,168,87
林玉佩,177,76
白世宏,185,64
張雅芬,154,81
賴又琦,163,51
周芷蓁,162,76
林佳人,178,80
陳向愛,161,67
王士銘,169,57
鄭琇亞,162,71
陳冠霞,179,65
王德城,176,85
陳家年,161,73
趙家豪,175,69
黃江旭,161,57
蕭怡伶,167,75
林義皓,168,50
許芳如,169,54
陳樂紫,172,56
盧文啟,175,69
陳奇瑄,154,89
陳志偉,184,86
吳孟穎,154,54
陳建香,169,68
楊少亮,175,87
陳凱翔,151,64
李慶亮,182,77
林佳蓉,156,57
黃健發,164,68
尚偉倫,186,66
孫火清,173,90
王怡君,161,73
趙偉銘,150,77
周怡啟,162,79
陳逸凡,186,61
李立偉,175,63
景歡燦,187,50
趙宛真,189,62
郭坤花,154,64
楊韋廷,170,63
陳俊憲,167,64
